Epoch, Loss, Time(s)
1, 1.906477, 35.12
2, 1.687905, 34.09
3, 1.638489, 33.71
4, 1.576825, 33.85
5, 1.554377, 33.79
6, nan, 33.87
7, nan, 33.38
8, nan, 33.64
9, nan, 33.33
10, nan, 33.10
11, nan, 33.06
12, nan, 33.07
13, nan, 33.08
14, nan, 33.09
15, nan, 33.30
16, nan, 33.24
17, nan, 33.29
18, nan, 33.24
19, nan, 33.08
20, nan, 33.34
21, nan, 33.18
22, nan, 33.01
23, nan, 33.16
24, nan, 33.30
25, nan, 33.16
26, nan, 33.19
27, nan, 33.12
28, nan, 33.17
29, nan, 33.06
30, nan, 33.01
31, nan, 32.95
32, nan, 33.02
33, nan, 32.91
34, nan, 33.26
35, nan, 33.08
36, nan, 33.15
37, nan, 33.38
38, nan, 33.32
39, nan, 33.29
40, nan, 33.14
41, nan, 33.08
42, nan, 33.17
43, nan, 33.30
44, nan, 33.18
45, nan, 33.13
46, nan, 33.19
47, nan, 32.97
48, nan, 33.39
49, nan, 33.14
50, nan, 33.59
51, nan, 32.84
52, nan, 33.34
53, nan, 33.39
54, nan, 33.43
55, nan, 33.42
56, nan, 33.16
57, nan, 32.90
58, nan, 33.06
59, nan, 33.49
60, nan, 33.19
61, nan, 33.34
62, nan, 33.04
63, nan, 33.45
64, nan, 33.25
65, nan, 33.10
66, nan, 33.25
67, nan, 33.31
68, nan, 33.78
69, nan, 33.23
70, nan, 33.62
71, nan, 33.37
72, nan, 33.10
73, nan, 33.19
74, nan, 33.33
75, nan, 33.47
1, 2.106474, 35.97
2, 1.683198, 36.81
3, 1.605864, 39.63
4, 1.533150, 39.77
5, 1.507752, 37.83
6, 1.474800, 36.55
7, 1.458325, 36.46
8, 1.442510, 36.35
9, 1.450552, 36.84
10, 1.435510, 36.82
11, 1.396315, 37.59
12, 1.386790, 36.25
13, 1.381036, 36.58
14, 1.382812, 36.80
15, 1.348426, 36.55
16, 1.364589, 36.91
17, 1.350994, 39.01
18, 1.337284, 39.36
19, 1.331320, 39.56
20, 1.320158, 39.78
21, 1.299333, 39.81
22, 1.302654, 39.46
23, 1.300003, 39.50
24, 1.292112, 39.70
25, 1.298199, 39.81
26, 1.295840, 39.63
27, 1.284329, 39.57
28, 1.292841, 39.81
29, 1.273251, 39.38
30, 1.273628, 39.65
31, 1.265675, 40.27
32, 1.269710, 39.93
33, 1.264023, 40.04
34, 1.268395, 41.16
35, 1.259971, 42.05
36, 1.262494, 40.37
37, 1.254608, 40.93
38, 1.258213, 40.45
39, 1.249093, 40.93
40, 1.254738, 39.72
41, 1.248816, 40.10
42, 1.249641, 40.66
43, 1.250973, 40.14
44, 1.251574, 40.18
45, 1.246508, 40.59
46, 1.244160, 40.09
47, 1.244440, 40.34
48, 1.251625, 40.35
49, 1.243344, 39.95
50, 1.240671, 39.97
51, 1.238359, 39.84
52, 1.228458, 40.04
53, 1.231859, 40.01
54, 1.237124, 39.77
55, 1.247855, 39.79
56, 1.229728, 40.18
57, 1.229230, 39.91
58, 1.235645, 39.83
59, 1.230982, 40.21
60, 1.241829, 39.64
61, 1.222384, 39.43
62, 1.251222, 38.13
63, 1.219894, 39.69
64, 1.223376, 40.99
65, 1.229919, 40.62
66, 1.231572, 40.53
67, 1.213772, 40.31
68, 1.230626, 40.17
69, 1.230629, 40.42
70, 1.230013, 40.22
71, 1.233883, 39.66
72, 1.228221, 40.11
73, 1.219556, 40.34
74, 1.225821, 40.44
75, 1.235854, 39.81
