Epoch, Loss, Time(s)
1, 1.807153, 93.14
2, 1.525190, 90.45
3, 1.464743, 88.10
4, 1.430739, 88.71
5, 1.409296, 94.49
6, 1.364509, 108.40
7, 1.334292, 107.32
8, 1.304295, 105.49
9, 1.282535, 106.47
10, 1.267567, 106.87
11, 1.224274, 103.18
12, 1.211255, 99.63
13, 1.210910, 98.26
14, 1.197991, 104.48
15, 1.195211, 98.52
16, 1.177330, 93.18
17, 1.180314, 86.15
18, 1.175576, 85.81
19, 1.168991, 85.35
20, 1.162155, 85.07
21, 1.148188, 84.48
22, 1.138309, 85.13
23, 1.137798, 84.46
24, 1.137240, 83.96
25, 1.130870, 83.85
26, 1.139393, 83.70
27, 1.125878, 84.29
28, 1.121477, 83.93
29, 1.117422, 83.86
30, 1.117765, 83.75
31, 1.115911, 84.16
32, 1.109343, 84.39
33, 1.116720, 83.86
34, 1.107528, 83.80
35, 1.103696, 84.45
36, 1.114894, 83.93
37, 1.104445, 83.87
38, 1.105956, 84.01
39, 1.108968, 84.26
40, 1.104534, 83.79
41, 1.096853, 84.29
42, 1.100179, 84.27
43, 1.100808, 83.72
44, 1.099945, 84.15
45, 1.090917, 84.24
46, 1.086332, 83.79
47, 1.095921, 84.02
48, 1.090676, 83.85
49, 1.093255, 84.11
50, 1.089823, 83.48
51, 1.092846, 83.83
52, 1.085081, 83.72
53, 1.082965, 83.90
54, 1.094621, 84.04
55, 1.090593, 84.33
56, 1.084883, 83.89
57, 1.082364, 84.25
58, 1.089249, 84.06
59, 1.090625, 83.59
60, 1.090194, 83.98
61, 1.089037, 83.94
62, 1.083288, 83.87
63, 1.086725, 84.12
64, 1.084493, 84.31
65, 1.084675, 83.94
66, 1.094075, 84.05
67, 1.080816, 84.19
68, 1.090533, 84.03
69, 1.087558, 83.88
70, 1.083011, 83.93
71, 1.084019, 83.57
72, 1.085867, 84.10
73, 1.087013, 84.06
74, 1.086665, 83.90
75, 1.080083, 83.81
76, 1.091594, 84.25
77, 1.078824, 83.75
78, 1.081936, 83.81
79, 1.088651, 84.04
80, 1.086116, 84.42
81, 1.082910, 84.19
82, 1.089312, 83.95
83, 1.081497, 84.07
84, 1.088597, 84.08
85, 1.079817, 84.16
86, 1.082084, 83.94
87, 1.084275, 84.71
88, 1.076482, 84.33
89, 1.085227, 83.85
90, 1.082957, 83.95
91, 1.082600, 84.33
92, 1.087541, 83.76
93, 1.081236, 83.98
94, 1.080792, 83.69
95, 1.073433, 84.00
96, 1.080610, 84.15
97, 1.080012, 84.34
98, 1.081968, 84.11
99, 1.080955, 84.14
100, 1.081157, 84.23
101, 1.079635, 83.66
102, 1.086798, 84.19
103, 1.078801, 84.33
104, 1.076692, 84.11
105, 1.078884, 84.09
106, 1.083983, 84.08
107, 1.080586, 84.01
108, 1.079900, 83.78
109, 1.080605, 84.17
110, 1.076558, 83.80
111, 1.082254, 83.87
112, 1.080058, 84.05
113, 1.088195, 83.68
114, 1.086097, 84.12
115, 1.076559, 83.91
116, 1.086764, 84.40
117, 1.086643, 84.23
118, 1.082368, 85.35
119, 1.078487, 84.81
120, 1.085457, 84.97
121, 1.076251, 84.66
122, 1.079938, 84.54
123, 1.078928, 85.01
124, 1.079139, 84.75
125, 1.078920, 84.63
126, 1.079652, 84.79
127, 1.080608, 85.28
128, 1.084515, 85.14
129, 1.079460, 84.44
130, 1.077265, 84.79
131, 1.084585, 85.48
132, 1.079850, 93.82
133, 1.077435, 94.01
134, 1.081850, 93.42
135, 1.084499, 94.03
136, 1.085535, 93.16
137, 1.079108, 93.35
138, 1.081439, 94.53
139, 1.084207, 93.46
140, 1.078422, 94.34
141, 1.080262, 93.95
142, 1.080900, 94.27
143, 1.083086, 93.83
144, 1.081517, 94.13
145, 1.082526, 94.01
146, 1.082431, 93.21
147, 1.081051, 94.22
148, 1.081400, 93.32
149, 1.086366, 94.20
150, 1.076412, 94.04
151, 1.087305, 93.80
152, 1.073662, 94.09
153, 1.084300, 94.17
154, 1.076824, 93.61
155, 1.083426, 93.77
156, 1.074608, 94.27
157, 1.084760, 94.15
158, 1.084232, 94.06
159, 1.085176, 93.68
160, 1.082560, 93.95
161, 1.071983, 93.93
162, 1.081087, 94.39
163, 1.078511, 94.54
164, 1.085484, 93.79
165, 1.078679, 94.30
166, 1.081458, 94.08
167, 1.081099, 94.41
168, 1.083470, 94.02
169, 1.082280, 94.06
170, 1.079313, 93.64
171, 1.078324, 94.17
172, 1.082161, 94.16
173, 1.078661, 94.23
174, 1.084307, 93.39
175, 1.077670, 94.74
176, 1.083899, 93.59
177, 1.080743, 93.42
178, 1.089944, 93.32
179, 1.085325, 92.97
180, 1.084870, 93.48
181, 1.085991, 94.28
182, 1.081323, 93.86
183, 1.085679, 94.13
184, 1.083010, 93.38
185, 1.085647, 94.65
186, 1.075403, 93.57
187, 1.085862, 94.22
188, 1.077648, 93.94
189, 1.075564, 93.08
190, 1.081119, 93.77
191, 1.082230, 94.17
192, 1.082024, 94.18
193, 1.079152, 94.11
194, 1.085930, 93.71
195, 1.087157, 94.94
196, 1.082214, 94.18
197, 1.077168, 94.26
198, 1.081792, 93.48
199, 1.078013, 94.17
200, 1.079071, 93.54
201, 1.082221, 93.90
202, 1.083874, 93.54
203, 1.079170, 92.89
204, 1.084423, 94.60
205, 1.081079, 93.46
206, 1.081944, 93.63
207, 1.083810, 94.16
208, 1.082618, 93.98
209, 1.081950, 93.57
210, 1.080137, 93.47
211, 1.082130, 93.98
212, 1.082953, 94.13
213, 1.082665, 93.64
214, 1.076833, 93.86
215, 1.083858, 94.84
216, 1.074837, 105.12
217, 1.081340, 93.95
218, 1.079976, 93.60
219, 1.089371, 94.30
220, 1.081124, 93.80
221, 1.082192, 93.84
222, 1.078350, 93.69
223, 1.080694, 94.58
224, 1.089853, 93.81
225, 1.087677, 92.80
226, 1.086087, 93.74
227, 1.083189, 93.50
228, 1.085053, 93.97
229, 1.077615, 94.14
230, 1.083205, 93.67
231, 1.081667, 92.68
232, 1.081227, 92.88
233, 1.084320, 93.44
234, 1.086574, 93.75
235, 1.076104, 93.29
236, 1.075402, 93.10
237, 1.087542, 93.10
238, 1.078700, 93.27
239, 1.084274, 93.69
240, 1.074834, 93.77
241, 1.089481, 93.70
242, 1.082524, 93.32
243, 1.080616, 93.41
244, 1.082106, 93.02
245, 1.078115, 93.60
