Epoch, Loss, Time(s)
1, 0.001481, 146.09
2, 0.000895, 161.96
3, 0.000887, 154.51
4, 0.000852, 160.34
5, 0.000859, 149.85
6, 0.000825, 169.40
7, 0.000803, 152.53
8, 0.000799, 144.21
9, 0.000795, 160.70
10, 0.000804, 151.91
1, 0.002509, 34.40
2, 0.001530, 36.96
3, 0.001479, 36.80
4, 0.001417, 37.23
5, 0.001404, 36.12
6, 0.001394, 35.39
7, 0.001360, 37.40
8, 0.001337, 37.78
9, 0.001312, 37.04
10, 0.001289, 37.30
1, 2.197425, 36.13
2, 1.717677, 37.47
3, 1.651275, 37.28
4, 1.599105, 35.62
5, 1.573411, 35.56
6, 1.534569, 34.38
